;vac_name;vac_money_from;vac_money_to;vac_money_cur;city;employer_name;employer_url;employer_url_vacancy;addr_metro;addr_street;addr_build;addr_lng;addr_lat
0;Android-разработчик в WorkinGeeks;100000.0;150000.0;RUR;Санкт-Петербург;WorkinGeeks;https://api.hh.ru/employers/4719197;https://hh.ru/vacancy/40323478;;;;;
1;Android разработчик (Android Developer, Java, Kotlin);130000.0;;RUR;Санкт-Петербург;Asteroid.team;https://api.hh.ru/employers/4492343;https://hh.ru/vacancy/40161298;;;;;
2;Разработчик ‎Android;140000.0;250000.0;RUR;Санкт-Петербург;4people;https://api.hh.ru/employers/4446629;https://hh.ru/vacancy/35035206;;;;;
3;Android - разработчик;90000.0;160000.0;RUR;Санкт-Петербург;Куберто, OOO;https://api.hh.ru/employers/837826;https://hh.ru/vacancy/39958185;;Троицкий проспект;4В;30.304576;59.91567
4;Senior Android developer;250000.0;;RUR;Санкт-Петербург;ЛИПТ Софт;https://api.hh.ru/employers/1741760;https://hh.ru/vacancy/40551148;Новочеркасская;Малоохтинский проспект;64Б;30.402825;59.931238
5;Android разработчик;120000.0;180000.0;RUR;Санкт-Петербург;АВАНГАРД;https://api.hh.ru/employers/557534;https://hh.ru/vacancy/40528648;Беговая;Приморский проспект;54к3;30.233061;59.983756
6;Senior Android - разработчик;230000.0;290000.0;RUR;Санкт-Петербург;FBS Inc.;https://api.hh.ru/employers/681575;https://hh.ru/vacancy/40219777;;;;;
7;Руководитель мобильной разработки (Android/iOS);200000.0;250000.0;RUR;Санкт-Петербург;Densure;https://api.hh.ru/employers/3026046;https://hh.ru/vacancy/40232347;Электросила;Цветочная улица;25А;30.329531;59.885747
8;Android разработчик;150000.0;170000.0;RUR;Санкт-Петербург;Суши WOK;https://api.hh.ru/employers/1111042;https://hh.ru/vacancy/39976494;Ладожская;Магнитогорская улица;51Е;30.433026;59.93937
9;Android разработчик Java / Kotlin (Senior Android Developer);150000.0;;RUR;Санкт-Петербург;Asteroid.team;https://api.hh.ru/employers/4492343;https://hh.ru/vacancy/40398320;;;;;
10;Android разработчик;;150000.0;RUR;Санкт-Петербург;BetaStudio;https://api.hh.ru/employers/2416234;https://hh.ru/vacancy/40604297;Маяковская;;;;
11;Senior Android Developer;150000.0;200000.0;RUR;Санкт-Петербург;difway.studio;https://api.hh.ru/employers/5016626;https://hh.ru/vacancy/40233952;;;;;
12;Android-разработчик (Kotlin);;140000.0;RUR;Санкт-Петербург;Ай Ти Сервис;https://api.hh.ru/employers/3539265;https://hh.ru/vacancy/40687565;Чёрная речка;Торжковская улица;1к2;30.305762;59.986808
13;Android developer;120000.0;;RUR;Санкт-Петербург;AdCombo.com;https://api.hh.ru/employers/1321508;https://hh.ru/vacancy/39707714;;;;;
14;Middle / Senior Android developer;80000.0;160000.0;RUR;Санкт-Петербург;МедиаСофт;https://api.hh.ru/employers/1666189;https://hh.ru/vacancy/32614916;Площадь Ленина;Большой Сампсониевский проспект;4-6;30.343914;59.957354
15;Android developer (Kotlin/Java);200000.0;;RUR;Санкт-Петербург;Fortis;https://api.hh.ru/employers/2496609;https://hh.ru/vacancy/40705190;Звёздная;Звёздная улица;1;30.344866;59.831245
16;Android разработчик (Android Developer, Java);150000.0;150000.0;RUR;Санкт-Петербург;SH MARKETING;https://api.hh.ru/employers/4347875;https://hh.ru/vacancy/40642799;;;;;
17;Android разработчик (удаленно);150000.0;150000.0;RUR;Санкт-Петербург;Carprice;https://api.hh.ru/employers/1532045;https://hh.ru/vacancy/40531863;;;;;
18;Middle Android Developer;150000.0;;RUR;Санкт-Петербург;Кузница Кадров;https://api.hh.ru/employers/3197321;https://hh.ru/vacancy/40667859;;;;;
19;Unity разработчик iOS / Android;;150000.0;RUR;Санкт-Петербург;BetaStudio;https://api.hh.ru/employers/2416234;https://hh.ru/vacancy/40602941;Маяковская;;;;
20;Android developer;150000.0;170000.0;RUR;Санкт-Петербург;Суши WOK;https://api.hh.ru/employers/1111042;https://hh.ru/vacancy/40661064;;;;;
21;Android разработчик;150000.0;170000.0;RUR;Санкт-Петербург;Хедхантерс;https://api.hh.ru/employers/2967080;https://hh.ru/vacancy/39983763;Ладожская;Магнитогорская улица;51Е;30.433026;59.93937
22;Android Developer;;180000.0;RUR;Санкт-Петербург;КардПэй;https://api.hh.ru/employers/2293860;https://hh.ru/vacancy/39429522;;;;;
23;Разработчик под Android (Java/Kotlin);90000.0;150000.0;RUR;Санкт-Петербург;Рокси Мобайл;https://api.hh.ru/employers/3974461;https://hh.ru/vacancy/39495647;;Сердобольская улица;64к1А;30.314458;59.987033
24;Android разработчик;140000.0;140000.0;RUR;Санкт-Петербург;ПКБ;https://api.hh.ru/employers/125462;https://hh.ru/vacancy/39708593;;;;;
25;Android-разработчик;180000.0;250000.0;RUR;Санкт-Петербург;АКМЭ сервис;https://api.hh.ru/employers/157761;https://hh.ru/vacancy/36305702;;;;;
26;Middle/Senior Android developer;180000.0;250000.0;RUR;Санкт-Петербург;IT_Selection;https://api.hh.ru/employers/747028;https://hh.ru/vacancy/40614445;;;;;
27;Android разработчик;150000.0;180000.0;RUR;Санкт-Петербург;АКМЭ сервис;https://api.hh.ru/employers/157761;https://hh.ru/vacancy/40521026;Московские ворота;Лиговский проспект;;30.348055;59.911534
28;Android developer;;250000.0;RUR;Санкт-Петербург;АКМЭ сервис;https://api.hh.ru/employers/157761;https://hh.ru/vacancy/40576808;;;;;
29;ANDROID разработчик/ ANDROID developer (Middle);130000.0;;RUR;Санкт-Петербург;СофтБаланс;https://api.hh.ru/employers/343;https://hh.ru/vacancy/37797285;Новочеркасская;Заневский проспект;30 к2;30.420666;59.931959
30;Разработчик мобильных приложений (Android);;230000.0;RUR;Санкт-Петербург;Russ Outdoor;https://api.hh.ru/employers/2476;https://hh.ru/vacancy/39721250;Чкаловская;улица Красного Курсанта;25Ж;30.279783;59.960269
31;Разработчик мобильных приложений;60000.0;120000.0;RUR;Санкт-Петербург;Контек;https://api.hh.ru/employers/705790;https://hh.ru/vacancy/40523431;Петроградская;набережная реки Карповки;5к17;30.315284;59.96884
32;UX/UI дизайнер (mobile, web);70000.0;100000.0;RUR;Санкт-Петербург;Ай Ти Сервис;https://api.hh.ru/employers/3539265;https://hh.ru/vacancy/40687566;Чёрная речка;Торжковская улица;1к2;30.305762;59.986808
33;Senior Android Developer (Remote);160000.0;220000.0;RUR;Санкт-Петербург;Чиббис;https://api.hh.ru/employers/2695590;https://hh.ru/vacancy/40590894;;;;;
34;Android-разработчик middle (г. Ижевск, удаленно);100000.0;140000.0;RUR;Санкт-Петербург;Хлебница;https://api.hh.ru/employers/1864790;https://hh.ru/vacancy/40191451;;;;;
35;Android Mobile developer (Space);200000.0;;RUR;Санкт-Петербург;JetBrains;https://api.hh.ru/employers/9281;https://hh.ru/vacancy/38981137;;;;;
36;Mobile Application Developer;100000.0;200000.0;RUR;Санкт-Петербург;Орби;https://api.hh.ru/employers/3914436;https://hh.ru/vacancy/40175415;;Биржевая линия;14;30.29544;59.944134
37;Android developer (remote);;280000.0;RUR;Санкт-Петербург;АРЕС;https://api.hh.ru/employers/232489;https://hh.ru/vacancy/39514568;;;;;
38;Senior UX/UI mobile&web designer (возможна удаленная работа);;130000.0;RUR;Санкт-Петербург;Колибри;https://api.hh.ru/employers/1592241;https://hh.ru/vacancy/40355428;Горьковская;Петроградская набережная;18к3;30.333107;59.960278
39;QA Engineer;70000.0;120000.0;RUR;Санкт-Петербург;СТАВКА TV;https://api.hh.ru/employers/4379115;https://hh.ru/vacancy/40204516;;Гаккелевская улица;21;30.256301;60.00002
40;QA Engineer;70000.0;120000.0;RUR;Санкт-Петербург;СТАВКА TV;https://api.hh.ru/employers/4379115;https://hh.ru/vacancy/40354997;;;;;
41;Разработчик C#, C++ / DevOps инженер;120000.0;;RUR;Санкт-Петербург;Varwin;https://api.hh.ru/employers/3318311;https://hh.ru/vacancy/39588917;Петроградская;проспект Медиков;3;30.3152295741;59.9691889716
42;Middle / Senior C# Developer Удаленно;;2500.0;USD;Санкт-Петербург;Неолаб-техно;https://api.hh.ru/employers/2998153;https://hh.ru/vacancy/40198683;;;;;
43;Front-end разработчик React Native​​​​​​​;200000.0;;RUR;Санкт-Петербург;TON Labs;https://api.hh.ru/employers/1641438;https://hh.ru/vacancy/40381072;;;;;
44;Java/Kotlin Разработчик;150000.0;245000.0;RUR;Санкт-Петербург;Russ Outdoor;https://api.hh.ru/employers/2476;https://hh.ru/vacancy/40711336;Чкаловская;улица Красного Курсанта;25Ж;30.279783;59.960269
45;Разработчик мобильных игр на Unity;60000.0;100000.0;RUR;Санкт-Петербург;Мерингов Георгий Андреевич;https://api.hh.ru/employers/3912813;https://hh.ru/vacancy/40306694;;;;;
